"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"4909","Bionics","","1669","1821","59.1","14.7","38.9","5.5","0.39","0.07","0.3","-1"
"5687","The Outliers","","1581","1692","44.6","9.8","29.4","5.3","0.23","-0.09","0.3","-1"
"95","Grasshoppers","","1573","1682","43.4","13.1","26.1","4.3","0.37","-0.01","0.2","-1"
"2370","IBOTS","","1551","1650","39.7","9.2","26.8","3.6","0.2","0.02","0.1","-1"
"1058","PVC Pirates","","1550","1647","39.6","11.4","21.3","6.9","0.41","0","0.4","-1"
"166","Chop Shop","","1538","1625","37.5","9.1","21","7.4","0.3","-0.09","0.3","-1"
"6933","Archytas","","1532","1617","36.6","8.5","24.7","3.3","0.19","0.02","0.1","-1"
"157","AZTECHS","","1503","1567","31.8","7.4","21.5","2.9","0.16","0.01","0.1","-1"
"7913",""Bear"ly Functioning","","1502","1566","31.6","7.3","21.4","2.9","0.16","0.01","0.1","-1"
"1073","The Force Team","","1496","1555","30.6","7.1","20.7","2.8","0.16","0.01","0.1","-1"
"2423","The KwarQs","","1495","1554","30.5","7.1","20.6","2.8","0.16","0.01","0.1","-1"
"8544","Reinforcement","","1489","1544","29.6","6.9","20","2.7","0.15","0.01","0.1","-1"
"4311","Swampscott Currents","","1487","1540","29.2","6.8","19.7","2.7","0.15","0.01","0.1","-1"
"9101","Green Mountain Robotics","","1486","1539","29.1","6.8","19.7","2.7","0.15","0.01","0.1","-1"
"3323","Potential Energy","","1483","1533","28.6","6.6","19.3","2.6","0.15","0.01","0.1","-1"
"5494","Bizarbots Robotics","","1481","1530","28.2","6.5","19.1","2.6","0.14","0.01","0.1","-1"
"69","HYPER","","1478","1525","27.7","6.4","18.7","2.5","0.14","0.01","0.1","-1"
"237","Black Magic Robotics","","1478","1524","27.7","6.4","18.7","2.5","0.14","0.01","0.1","-1"
"839","Rosie Robotics","","1475","1520","27.2","6.3","18.4","2.5","0.14","0.01","0.1","-1"
"4572","Barlow Robotics","","1466","1504","25.7","6","17.4","2.4","0.13","0","0.1","-1"
"1729","Team Inconceivable!","","1465","1507","25.5","5.7","15","4.9","0.36","-0.09","0.4","-1"
"2262","Robo-Panthers","","1459","1493","24.7","5.7","16.7","2.3","0.13","0","0.1","-1"
"348","Norwell Robotics","","1450","1477","23.1","5.4","15.6","2.1","0.12","0","0.1","-1"
"2523","Tech Storm","","1442","1464","21.9","5.1","14.8","2","0.11","0","0.1","-1"
"10066","CephaloSquad","","1438","1457","21.1","4.9","14.3","1.9","0.11","0","0.1","-1"
"10108","Hazard5","","1438","1457","21.1","4.9","14.3","1.9","0.11","0","0.1","-1"
"10138","VikingBot","","1438","1457","21.1","4.9","14.3","1.9","0.11","0","0.1","-1"
"8421","CRUSADERS","","1422","1430","18.5","4.3","12.5","1.7","0.09","-0.01","0.1","-1"
"9096","Bad Weather","","1421","1428","18.4","4.3","12.4","1.7","0.09","-0.01","0.1","-1"
"6691","Torque","","1415","1429","17.4","3.2","11.4","2.7","0.2","-0.12","0.3","-1"
"811","Wild Cards","","1402","1410","15.3","4.1","10","1.2","0.14","-0.02","0","-1"
"97","Bionic Beef","","1379","1374","11.4","2.8","6.3","2.3","-0.03","-0.11","0.1","-1"
"1512","The Big Red","","1346","1322","6.1","3.5","-0.7","3.3","-0.02","-0.11","0.2","-1"
